Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  8.11      0.96     0.96                             operator-(b2Vec2 const&, b2Vec2 const&)
  6.33      1.71     0.75                             b2Mul(b2Transform const&, b2Vec2 const&)
  6.17      2.44     0.73                             b2Vec2::b2Vec2(float, float)
  5.57      3.10     0.66                             b2ContactSolver::SolveVelocityConstraints()
  5.45      3.75     0.65                             operator*(float, b2Vec2 const&)
  3.38      4.15     0.40                             b2Cross(float, b2Vec2 const&)
  2.79      4.48     0.33                             operator+(b2Vec2 const&, b2Vec2 const&)
  2.36      4.76     0.28                             b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&)
  2.32      5.03     0.28                             b2Vec2::b2Vec2()
  2.24      5.30     0.27                             b2Dot(b2Vec2 const&, b2Vec2 const&)
  2.20      5.56     0.26                             b2Min(b2Vec2 const&, b2Vec2 const&)
  2.20      5.82     0.26                             b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&)
  2.15      6.07     0.26                             b2Cross(b2Vec2 const&, b2Vec2 const&)
  2.11      6.32     0.25                             b2World::DrawDebugData()
  1.94      6.55     0.23                             b2Max(b2Vec2 const&, b2Vec2 const&)
  1.86      6.77     0.22                             float b2Min<float>(float, float)
  1.60      6.96     0.19  1857714     0.10     0.10  debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&)
  1.52      7.14     0.18                             b2Shape::GetType() const
  1.52      7.32     0.18                             b2ContactSolver::SolvePositionConstraints()
  1.52      7.50     0.18                             b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool)
  1.39      7.67     0.17                             b2Mul(b2Rot const&, b2Vec2 const&)
  1.35      7.83     0.16                             b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  1.10      7.96     0.13                             b2TestOverlap(b2AABB const&, b2AABB const&)
  0.93      8.07     0.11                             b2DynamicTree::InsertLeaf(int)
  0.93      8.18     0.11                             b2World::Solve(b2TimeStep const&)
  0.84      8.28     0.10                             b2World::SolveTOI(b2TimeStep const&)
  0.76      8.37     0.09                             b2Vec2::operator-() const
  0.76      8.46     0.09                             b2Fixture::GetType() const
  0.76      8.55     0.09                             b2PairLessThan(b2Pair const&, b2Pair const&)
  0.76      8.64     0.09                             b2ContactSolver::InitializeVelocityConstraints()
  0.76      8.73     0.09                             b2Vec2::operator-=(b2Vec2 const&)
  0.76      8.82     0.09                             b2Body::IsActive() const
  0.72      8.90     0.09                             float b2Clamp<float>(float, float, float)
  0.68      8.98     0.08                             b2ContactSolver::WarmStart()
  0.68      9.06     0.08                             b2Fixture::GetShape()
  0.63      9.14     0.08                             float b2Max<float>(float, float)
  0.59      9.21     0.07                             b2GrowableStack<int, 256>::Push(int const&)
  0.59      9.28     0.07                             b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&)
  0.59      9.35     0.07                             b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&)
  0.59      9.42     0.07                             b2Fixture::GetNext()
  0.59      9.49     0.07                             void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const
  0.59      9.56     0.07                             b2Pair* std::__unguarded_partition<b2Pair*, b2Pair, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, b2Pair*, b2Pair const&, bool (*)(b2Pair const&, b2Pair const&))
  0.59      9.63     0.07                             b2AABB::Combine(b2AABB const&, b2AABB const&)
  0.51      9.69     0.06                             b2Cross(b2Vec2 const&, float)
  0.51      9.75     0.06                             b2Body::IsAwake() const
  0.51      9.81     0.06                             b2AABB::GetPerimeter() const
  0.51      9.87     0.06                             b2Mat33::Solve22(b2Vec2 const&) const
  0.51      9.93     0.06                             b2Fixture::IsSensor() const
  0.46      9.98     0.06                             b2Body::GetType() const
  0.42     10.03     0.05                             b2DynamicTree::RemoveLeaf(int)
  0.42     10.08     0.05                             b2DynamicTree::Balance(int)
  0.42     10.13     0.05                             b2ContactSolver::b2ContactSolver(b2ContactSolverDef*)
  0.42     10.18     0.05                             b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float)
  0.42     10.23     0.05                             b2Vec2::operator+=(b2Vec2 const&)
  0.42     10.28     0.05                             b2TreeNode::IsLeaf() const
  0.42     10.33     0.05                             void std::__unguarded_linear_insert<b2Pair*, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, bool (*)(b2Pair const&, b2Pair const&))
  0.34     10.37     0.04                             b2GrowableStack<int, 256>::Pop()
  0.34     10.41     0.04                             b2Body::Advance(float)
  0.34     10.45     0.04                             b2Vec2::SetZero()
  0.34     10.49     0.04                             b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
  0.25     10.52     0.03                             b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*)
  0.25     10.55     0.03                             b2Mul(b2Mat22 const&, b2Vec2 const&)
  0.25     10.58     0.03                             b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&)
  0.25     10.61     0.03                             b2ContactSolver::StoreImpulses()
  0.25     10.64     0.03                             b2Vec2::Set(float, float)
  0.25     10.67     0.03                             b2Color::b2Color(float, float, float)
  0.25     10.70     0.03                             b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&)
  0.25     10.73     0.03                             b2Fixture::GetBody()
  0.25     10.76     0.03                             void std::swap<b2Pair>(b2Pair&, b2Pair&)
  0.21     10.79     0.03    58701     0.43     0.43  debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&)
  0.21     10.81     0.03                             b2PulleyJoint::ShiftOrigin(b2Vec2 const&)
  0.17     10.83     0.02                             b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&)
  0.17     10.85     0.02                             b2FindIncidentEdge(b2ClipVertex*, b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&)
  0.17     10.87     0.02                             void b2BroadPhase::UpdatePairs<b2ContactManager>(b2ContactManager*)
  0.17     10.89     0.02                             b2BroadPhase::QueryCallback(int)
  0.17     10.91     0.02                             b2ContactManager::AddPair(void*, void*)
  0.17     10.93     0.02                             b2ContactManager::Collide()
  0.17     10.95     0.02                             b2ContactManager::Destroy(b2Contact*)
  0.17     10.97     0.02                             b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float)
  0.17     10.99     0.02                             b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int)
  0.17     11.01     0.02                             b2PositionSolverManifold::b2PositionSolverManifold()
  0.17     11.03     0.02                             b2Rot::Set(float)
  0.17     11.05     0.02                             b2Rot::b2Rot(float)
  0.17     11.07     0.02                             b2AABB::b2AABB()
  0.17     11.09     0.02                             b2Body::GetFixtureList()
  0.17     11.11     0.02                             b2Body::SynchronizeFixtures()
  0.17     11.13     0.02                             b2World::ClearForces()
  0.17     11.15     0.02                             b2World::DrawJoint(b2Joint*)
  0.17     11.17     0.02                             b2Contact::GetFixtureA()
  0.17     11.19     0.02                             b2Contact::Update(b2ContactListener*)
  0.17     11.21     0.02                             b2DynamicTree::GetUserData(int) const
  0.17     11.23     0.02                             b2AABB::Contains(b2AABB const&) const
  0.17     11.25     0.02                             b2Vec2::Length() const
  0.17     11.27     0.02                             void std::__iter_swap<true>::iter_swap<b2Pair*, b2Pair*>(b2Pair*, b2Pair*)
  0.17     11.29     0.02                             void std::__unguarded_insertion_sort<b2Pair*, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, b2Pair*, bool (*)(b2Pair const&, b2Pair const&))
  0.17     11.31     0.02                             operator delete(void*, void*)
  0.08     11.32     0.01     3453     2.90     2.90  debug_draw_t::DrawString(int, int, char const*, ...)
  0.08     11.33     0.01                             _GLOBAL__sub_I_b2_defaultFilter
  0.08     11.34     0.01                             b2CollideCircles(b2Manifold*, b2CircleShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&)
  0.08     11.35     0.01                             b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  0.08     11.36     0.01                             b2DistanceSquared(b2Vec2 const&, b2Vec2 const&)
  0.08     11.37     0.01                             b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int)
  0.08     11.38     0.01                             b2CollideEdgeAndPolygon(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  0.08     11.39     0.01                             b2MulT(b2Transform const&, b2Vec2 const&)
  0.08     11.40     0.01                             b2MulT(b2Transform const&, b2Transform const&)
  0.08     11.41     0.01                             b2MulT(b2Rot const&, b2Vec2 const&)
  0.08     11.42     0.01                             b2MulT(b2Rot const&, b2Rot const&)
  0.08     11.43     0.01                             b2Transform::b2Transform()
  0.08     11.44     0.01                             b2ClipVertex::b2ClipVertex()
  0.08     11.45     0.01                             b2MotorJoint::Dump()
  0.08     11.46     0.01                             b2DynamicTree::DestroyProxy(int)
  0.08     11.47     0.01                             b2ContactFilter::ShouldCollide(b2Fixture*, b2Fixture*)
  0.08     11.48     0.01                             b2DistanceProxy::b2DistanceProxy()
  0.08     11.49     0.01                             b2GrowableStack<int, 256>::GetCount()
  0.08     11.50     0.01                             b2PolygonContact::~b2PolygonContact()
  0.08     11.51     0.01                             b2StackAllocator::Free(void*)
  0.08     11.52     0.01                             b2StackAllocator::Allocate(int)
  0.08     11.53     0.01                             b2ChainAndPolygonContact::~b2ChainAndPolygonContact()
  0.08     11.54     0.01                             b2PolygonAndCircleContact::b2PolygonAndCircleContact(b2Fixture*, b2Fixture*)
  0.08     11.55     0.01                             b2Rot::b2Rot()
  0.08     11.56     0.01                             cs251::callbacks_t::display_cb()
  0.08     11.57     0.01                             b2Body::GetContactList()
  0.08     11.58     0.01                             b2Body::GetNext()
  0.08     11.59     0.01                             b2Vec2::Normalize()
  0.08     11.60     0.01                             b2Vec3::operator*=(float)
  0.08     11.61     0.01                             b2Joint::GetNext()
  0.08     11.62     0.01                             b2Mat22::SetZero()
  0.08     11.63     0.01                             b2World::Step(float, int, int)
  0.08     11.64     0.01                             b2Island::b2Island(int, int, int, b2StackAllocator*, b2ContactListener*)
  0.08     11.65     0.01                             b2Contact::SetEnabled(bool)
  0.08     11.66     0.01                             b2Contact::GetFixtureB()
  0.08     11.67     0.01                             b2Contact::GetManifold()
  0.08     11.68     0.01                             b2Contact::FlagForFiltering()
  0.08     11.69     0.01                             b2Contact::AddType(b2Contact* (*)(b2Fixture*, int, b2Fixture*, int, b2BlockAllocator*), void (*)(b2Contact*, b2BlockAllocator*), b2Shape::Type, b2Shape::Type)
  0.08     11.70     0.01                             b2Contact::b2Contact(b2Fixture*, int, b2Fixture*, int)
  0.08     11.71     0.01                             b2Simplex::Solve3()
  0.08     11.72     0.01                             b2BroadPhase::TestOverlap(int, int) const
  0.08     11.73     0.01                             b2SeparationFunction::FindMinSeparation(int*, int*, float) const
  0.08     11.74     0.01                             b2Body::ShouldCollide(b2Body const*) const
  0.08     11.75     0.01                             b2Body::IsBullet() const
  0.08     11.76     0.01                             b2Mat22::Solve(b2Vec2 const&) const
  0.08     11.77     0.01                             b2World::RayCast(b2RayCastCallback*, b2Vec2 const&, b2Vec2 const&) const
  0.08     11.78     0.01                             b2Contact::IsEnabled() const
  0.08     11.79     0.01                             b2Simplex::WriteCache(b2SimplexCache*) const
